department,all_detected,none_detected,atleast_one_detected,len_all_detected,len_none_detected,len_atleast_one_detected
nephrology department,"['1142', '1145', '1148', '1160', '1172', '1175', '1178', '1181', '1184', '1187', '1193', '1196', '1199']",['1190'],"['1151', '1154', '1157']",13,1,3
gynecology department,"['272', '275', '284', '307', '310', '313', '316', '321', '324', '327', '330', '338', '347']","['279', '292', '296']","['288', '303', '341', '344', '350']",13,3,5
endocrinology department,"['122', '125', '128', '131', '134', '138', '141', '144', '147', '150', '159', '162', '165', '168', '171', '174', '177', '183', '187', '190', '193', '196', '199']",['156'],"['153', '180']",23,1,2
neurology department,"['712', '715', '722', '726', '732', '735', '738', '750', '753', '756', '762', '778', '781', '787']","['729', '747', '765', '772', '775', '790']","['718', '741', '744', '759', '769', '784']",14,6,6
pediatrics department,"['62', '66', '69', '72', '75', '79', '82', '85', '101', '107', '110', '113', '116', '119']",[],"['88', '91', '95', '98', '104']",14,0,5
cardiac surgical department,"['352', '355', '358', '361', '365', '370', '376', '381', '384', '389', '395', '401', '408']",[],[],13,0,0
gastrointestinal surgical department,"['1202', '1205', '1208', '1211', '1214', '1217', '1220', '1233', '1236', '1239', '1243', '1251']",['1254'],"['1223', '1226', '1229', '1258']",12,1,4
respiratory medicine department,"['211', '214', '220', '227', '230', '233', '236', '239', '242', '247', '252', '255', '264', '267', '270']","['205', '224']","['202', '208', '217', '258', '261']",15,2,5
gastroenterology department,"['552', '555', '558', '564', '570', '573', '582', '591', '600', '603', '606']","['567', '579', '585', '588', '609', '612', '615', '618']","['561', '576', '594', '597']",11,8,4
urinary surgical department,"['472', '475', '486', '492', '496', '499', '502', '505', '508', '511', '514', '518', '521', '529', '533', '536', '539', '545', '548']","['465', '468']","['462', '525', '542']",19,2,3
hepatobiliary and pancreas surgical department,"['1043', '1047', '1050', '1056', '1071', '1074', '1078', '1081', '1085', '1098', '1101', '1104', '1110', '1113', '1116', '1119', '1122', '1125', '1128', '1134', '1137', '1140']",[],"['1053', '1061', '1092', '1095', '1107']",22,0,5
hematology department,[],"['1332', '1335', '1338', '1352', '1356']","['1343', '1346', '1359']",0,5,3
