department,all_detected,none_detected,atleast_one_detected,len_all_detected,len_none_detected,len_atleast_one_detected
nephrology department,"['1142', '1145', '1148', '1154', '1160', '1172', '1175', '1178', '1184', '1187', '1193', '1196', '1199']",[],"['1151', '1157', '1181', '1190']",13,0,4
gynecology department,"['272', '284', '288', '307', '324', '327', '330', '338', '347']","['279', '296']","['275', '292', '303', '310', '313', '316', '321', '341', '344', '350']",9,2,10
endocrinology department,"['122', '125', '128', '131', '134', '138', '141', '144', '150', '162', '165', '168', '171', '174', '177', '183', '187', '190', '193', '196', '199']",[],"['147', '153', '156', '159', '180']",21,0,5
neurology department,"['712', '715', '722', '726', '732', '735', '738', '750', '753', '756', '762', '778', '781', '787']","['747', '790']","['718', '729', '741', '744', '759', '765', '769', '772', '775', '784']",14,2,10
pediatrics department,"['62', '66', '69', '72', '75', '79', '82', '91', '101', '107', '110', '113', '116', '119']",[],"['85', '88', '95', '98', '104']",14,0,5
cardiac surgical department,"['352', '355', '358', '361', '365', '370', '376', '381', '384', '389', '395', '401', '408']",[],[],13,0,0
gastrointestinal surgical department,"['1202', '1205', '1208', '1211', '1214', '1217', '1220', '1233', '1243', '1251']",['1254'],"['1223', '1226', '1229', '1236', '1239', '1258']",10,1,6
respiratory medicine department,"['208', '211', '214', '220', '227', '230', '233', '239', '242', '247', '252', '255', '264', '267', '270']",[],"['202', '205', '217', '224', '236', '258', '261']",15,0,7
gastroenterology department,"['552', '555', '558', '561', '564', '570', '582', '603', '606']","['567', '576', '579', '588', '612', '615', '618']","['573', '585', '591', '594', '597', '600', '609']",9,7,7
urinary surgical department,"['462', '465', '468', '472', '475', '486', '492', '496', '499', '502', '505', '508', '511', '514', '518', '521', '529', '533', '536', '539', '545', '548']",[],"['525', '542']",22,0,2
hepatobiliary and pancreas surgical department,"['1043', '1047', '1050', '1053', '1056', '1071', '1074', '1078', '1081', '1085', '1098', '1101', '1104', '1110', '1113', '1116', '1119', '1122', '1125', '1128', '1134', '1137']",[],"['1061', '1092', '1095', '1107', '1140']",22,0,5
hematology department,"['1335', '1338', '1346', '1352', '1359']",[],"['1332', '1343', '1356']",5,0,3
