department,single_shot,with_reasons,check_others_input
neurology department,21,22,20
gynecology department,18,18,18
respiratory medicine department,17,20,19
pediatrics department,16,16,17
hepatobiliary and pancreas surgical department,24,25,25
gastrointestinal surgical department,15,15,16
hematology department,2,3,2
urinary surgical department,19,21,21
cardiac surgical department,13,13,13
endocrinology department,26,26,24
gastroenterology department,11,14,13
nephrology department,11,16,15
Total,193,209,203
