department,both_fail,both_correct,improved,second_failed
nephrology department,1,15,0,1
gynecology department,3,18,0,0
endocrinology department,0,24,0,2
neurology department,4,20,0,2
pediatrics department,2,16,1,0
cardiac surgical department,0,13,0,0
gastrointestinal surgical department,1,15,1,0
respiratory medicine department,2,19,0,1
gastroenterology department,8,12,1,2
urinary surgical department,3,21,0,0
hepatobiliary and pancreas surgical department,1,24,1,1
hematology department,5,2,0,1
Total,30,199,4,10
