department,both_fail,both_correct,improved,second_failed
nephrology department,1,13,1,2
gynecology department,6,9,4,2
endocrinology department,1,23,1,1
neurology department,7,16,0,3
pediatrics department,2,14,1,2
cardiac surgical department,0,13,0,0
gastrointestinal surgical department,4,10,2,1
respiratory medicine department,3,16,1,2
gastroenterology department,9,10,3,1
urinary surgical department,2,19,0,3
hepatobiliary and pancreas surgical department,0,23,2,2
hematology department,5,1,0,2
Total,40,167,15,21
